"Type/Designation","No.","Year deployed","Warheads x yield (kilotons)","Warheads (total available)a"
"ICBMs"," "," "," "," "
" LGM-30G Minuteman III"," "," "," "," "
"  Mk12A","200","1979","1-3 W78 x 335 (MIRV)","600b"
"  Mk21/SERV","200","2006c","1 W87 x 300","200d"
"Total","400e"," "," ","800f"
"SLBMs"," "," "," "," "
" UGM-133A Trident II D5/LE","240g"," "," "," "
"  Mk4A"," ","2008h","1-8 W76-1 x 90 (MIRV)","1,486i"
"  Mk4A"," ","2019","1-2 W76-2 x low (MIRV)j","50k"
"  Mk5"," ","1990","1-8 W88 x 455 (MIRV)","384"
"Total","240"," "," ","1,920l"
"Bombers"," "," "," "," "
" B-52H Stratofortress","87/44m","1961","ALCM/W80-1 x 5-150","528"
" B-2A Spirit","20/16","1994","B61-7 x 10-360/-11 x 400","322"
" "," "," ","B83-1 x low-1,200"," "
"Total","107/60n"," "," ","850o"
"Total strategic forces"," "," "," ","3,570"
"Nonstrategic forces"," "," "," "," "
" F-15E, F-16 DCA","n/a","1979","1-5 B61-3/-4 bombs x 0.3–170p","230"
"Total"," "," "," ","230q"
"Total stockpile"," "," "," ","3,800"
" Deployed"," "," "," ","1,750r"
" Reserve (hedge and spares)"," "," "," ","2,050"
"Retired, awaiting dismantlement"," "," "," ","2,000"
"Total Inventory"," "," "," ","5,800"