"Type","NATO designation","Number of launchers","Year deployed","Rangea(kilometers)","Warhead x kilotons yield","Number of warheads"," "
"Aircraft"," "," "," "," "," "," "," "
" Vajra","Mirage 2000H","32","1985","1,850","1 x bomb","32"," "
" Shamsher","Jaguar IS","16","1981","1,600","1 x bomb","16"," "
" Subtotal:"," ","48"," "," "," ","48"," "
"Land-based ballistic missilesb"," "," "," "," "," "," "," "
" Prithvi-II","n.a.","30","2003","350c","1 x 12","30"," "
" Agni-I","n.a.","20","2007d","700+","1 x 40","20"," "
" Agni-II","n.a.","12","2011e","2,000+","1 x 40","12"," "
" Agni-III","n.a.","8","2014?","3,200+","1 x 40","8"," "
" Agni-IV","n.a.","n.a.","(2020)","3,500+","1 x 40","n.a."," "
" Agni-V","n.a.","n.a.","(2025)","5,200+","1 x 40","n.a."," "
" Subtotal:"," ","70"," "," "," ","70 f"," "
"Sea-based ballistic missilesg"," "," "," "," "," "," "," "
" Dhanush","n.a.","2","2013","400","1 x 12","4"," "
" K-15","(Sagarika)","1/12","(2018)","700","1 x 12","12"," "
" K-4","n.a.","n.a.","?","3,500","1 x ?","0"," "
" Subtotal:"," ","16"," "," "," ","16"," "
"Total"," ","134"," "," "," ","150 h"," "