" ","Russian"," ","Year","Warheads","Total"
"Type/name","designation","Launchers","deployed","x yield (kilotons)","warheads"
"Strategic offensive weapons"," "," "," "," "," "
"ICBMs"," "," "," "," "," "
" SS-18 M6 Satan","RS-20V","46","1988","10 x 500/800 (MIRV)","460a"
" SS-19 M3 Stiletto","RS-18 (UR-100NUTTH)","0","1980","6 x 400 (MIRV)","0b"
" SS-19 M4","? (Avangard)","2","2019","1 x HGV","2"
" SS-25 Sickle","RS-12M (Topol)","36","1988","1 x 800","36"
" SS-27 Mod 1 (mobile)","RS-12M1 (Topol-M)","18","2006","1 x 800?","18"
" SS-27 Mod 1 (silo)","RS-12M2 (Topol-M)","60","1997","1 x 800","60"
" SS-27 Mod 2 (mobile)","RS-24 (Yars)","126","2010","4 x 100? (MIRV)","504c"
" SS-27 Mod 2 (silo)","RS-24 (Yars)","14","2014","4 x 100? (MIRV)","56"
" SS-X-28 (mobile)","RS-26 (Yars-M)","-","-","4 x 100? (MIRV)","-"
" SS-X-29 (silo)","RS-28 (Sarmat)","-","(2020)","10 x 500? (MIRV)","-"
"Subtotal"," "," ","302"," ","1136d"
"SLBMs"," "," "," "," "," "
" SS-N-18 M1 Stingray","RSM-50","1/16","1978","3 x 50 (MIRV)","48e"
" SS-N-23 M1","RSM-54 (Sineva)","6/96","2007","4 x 100 (MIRV)f","384g"
" SS-N-32","RSM-56 (Bulava)","3/48","2014","6 x 100 (MIRV)","288h"
"Subtotal"," "," ","10/160i"," ","720j"
"Bombers/weapons"," "," "," "," "," "
" Bear-H","Tu-95 MS","21/30","1984","6-16 x AS-15A ALCMs","196"
" Bear-H Mod","Tu-95 MSM","18/20","2015","14 x AS-23B ALCMs","252"
" Blackjack","Tu-160","11/13","1987","12 x AS-15B ALCMs, or AS-23B, bombs","132"
"Subtotal"," ","50/68k"," "," ","580l"
"Subtotal strategic offensive forces"," ","530m"," "," ","~2,436n"
"Nonstrategic and defensive weapons"," "," "," "," "," "
"ABM/Air/Coastal defense"," "," "," "," "," "
" SA-20/SA-21","S-300/S-400","~1000","1992/2007","1 x low","~290"
" Gazelle","53T6","68","1986","1 x 10","68o"
" SSC-1B Sepal","Redut","8p","1973","1 x 350","4"
" SSC-5 Stooge (SS-N-26)","K-300P/3M-55","48","2015","(1 x 10)q","20"
"Land-based air"," "," "," "," "," "
" Bombers/fighters (Tu-22M3/Su-24M/Su-34/MiG-31K)"," ","~300","1974/2006/1983","ASMs, bombs","~500"
"Ground-based"," "," "," "," "," "
" SS-21 Scarab SSM","9K79, Tochka","-","1981","1 x 10-100","-"
" SS-26 Stone SSM","9K720, Iskander-M","132","2005","1 x 10-100","70"
" SSC-7 GLCMr","9M728"," "," "," "," "
" SSC-8 GLCMs","9M729","20t","2017","1 x 10-100","20"
"Naval"," "," "," "," "," "
" Submarines/surface ships/air (LACM, SLCM, ASW, SAM, DB, torpedoes)"," "," "," "," ","~900"
"Subtotal nonstrategic and defensive forces"," "," "," "," ","~1,870u"
"TOTAL STOCKPILE"," "," "," "," ","~4,310v"
" Deployed"," "," "," "," ","1,572"
" Reserve"," "," "," "," ","2,740"
"Retired warheads awaiting dismantlement"," "," "," "," ","2,060"
"Total inventory"," "," "," "," ","6,370"