,,,,,,"By Hans M. Kristensen and Matt Korda"
"Type","NATO designation","Number of launchersa","Year deployed","Range (kilometers)","Warheads x yieldb(kilotons)","Warheads"
,,,,,,"Land-based ballistic missiles"
"DF-4","CSS-3","6c","1980","5,500","1 x 3,300","6"
"DF-5A","CSS-4 Mod 2","10","1981","12,000","1 x 4,000–5,000","10"
"DF-5B","CSS-4 Mod 3","10","2015","13,000","5 x 200–300","50"
"DF-5 C","(CSS-4 Mod 4)",". .","(2021)","13,000","(MIRV)",". ."
"DF-15","CSS-6",". .","1990","600","1 x ?d",". ."
"DF-17","CSS-22","18e","(2021)","1,800+","1 x HGVf",". ."
"DF-21A/E","CSS-5 Mods 2, 6","40","2000, 2016","2,100 +g","1 x 200–300","40h"
"DF-26","?","200i","2016","4,000","1 x 200–300","20j"
"DF-31","CSS-10 Mod 1","6","2006","7,200","1 x 200–300","6"
"DF-31A","CSS-10 Mod 2","36","2007","11,200","1 x 200–300","36"
"DF-31AG","CSS-10 Mod 2k","36","2018","11,200","1 x 200–300","36"
"DF-41","CSS-X-20","18l","2020","12,000","3 x 200–300","54"
"DF-41","(silo version)",". .","(2025)m","12,000","(3 x 200–300)",". ."
"Subtotal:"," ","280"," "," "," ","258"
,,,,,,"Submarine-launched ballistic missiles"
"JL-2","CSS-N-14","6/72n","2016","7,000+","1 x 200–300","72"
"JL-3","CSS-N-?",". .","(2025)o","9,000+","(MIRV)",". ."
"Aircraftp",,,,,," "
"H-6Kq","B-6","20","1965/2009","3,100+","1 x bomb","20"
"H-6N","B-6",". .","(2024)","?","(1 x ALBM)",". ."
"H-20","?",". .","(2025)","?","(bomb/ALCM?)",". ."
"Total"," ","372"," "," "," ","350r"