"Type/Namea","US/Other Designations","Year Displayed","Range (km)b","Stages (Fuel)","Payload x Capacity (kg)","Launchersc"
,,,,,,"Land-based ballistic missiles"
,,,,,,"ICBMs (5,500+ km range)"
" Hwasong-16","KN27","2020","12,000+","2 (liquid)","1 x 1,700d","TEL"
" Hwasong-15","KN22","2017","12,000+","2 (liquid)","1 x ?","TEL"
" Hwasong-14","KN20","2017","10,000+e","2 (liquid)","1 x ?","TEL"
" Hwasong-?","KN14","2017","? (9,000)","3 (liquid)","1 x ?","TEL"
" Hwasong-13","KN08f","Dev.","13,000+","3 (liquid)","1 x ?","TEL"
" (Taepo Dong-2)","Taepo Dong-2g","(2012)","12,000+","3 (liquid)","1 x 800+","Fixed"
,,,,,,"IRBMs (3,000-5,500 km range)"
" Hwasong-12","KN17","(2017)","4,500+","1 (liquid)","1 x 1,000","TEL"
" Hwasong-10","Musudanh","(2016)","3,000+","1 (liquid)","1 x 1,000","<50 TEL"
,,,,,,"MRBMs (1,000-3,000 km range)"
" Pukguksong-2","KN15","(2016)","1,000+","2 (solid)","1 x ?","TEL (C)"
" Hwasong-9","Scud ER, KN04","(2016)","1,000i","1 (liquid)","1 x 500","TEL"
" Hwasong-7","Nodong Mod 1/2j","(1993)","1,200+","1 (liquid)","1 x 1,000","<100 TEL"
,,,,,,"Submarine-launched ballistic missiles (SLBMs)"
" Pukguksong-5","KN?","2021","?","2 (solid)?","1 x ?","SSB"
" Pukguksong-4","KN?","2020","3,500+","2 (solid)?","1 x ?k","SSB"
" Pukguksong-3","KN26","(2019)","1,000+l","2 (solid)","1 x ?","SSB"
" Pukguksong-1","KN11","Dev.","1,000+","2 (solid)","1 x ?","SSB"