"Type/NATO designation"," ","Number of launchers","Year deployed","Rangea (kilometers)","Warhead x yield (kilotons)b","Number of warheadsc"
,"Aircraftd"," "," "," "," "," "
,"Mirage III/V","~36","1998","2,100","1 x 5–12 kt bomb (or Ra-ad)","~36"
,"Subtotal:","~36"," "," "," ","~36"
,"Land-based ballistic missiles"," "," "," "," "," "
,"Abdali (Hatf-2)","10","2015","200","1 x 5–12 kt","10"
,"Ghaznavi (Hatf-3)","~16","2004","300","1 x 5–12 kt","~16"
,"Shaheen-1 (Hatf-4)","~16","2003","750","1 x 5–12 kt","~16"
,"Shaheen-1A (Hatf-4)","-","(2022)","900","1 x 5–12 kt","-"
,"Shaheen-2 (Hatf-6)","~16","2014","1,500","1 x 10–40 kt","~16"
,"Shaheen-3 (Hatf-6)","-","(2022)","2,750","1 x 10–40 kt","-"
,"Ghauri (Hatf-5)","~24","2003","1,250","1 x 10–40 kt","~24"
,"NASR (Hatf-9)","~24","2013","60–70","1 x 12 kt","~24e"
,"Ababeel (Hatf-?)","-","-","2,200","MIRV/MRV?","-"
,"Subtotal:","~106"," "," "," ","~106"
,"Ground and air-launched cruise missiles"," "," "," "," "," "
,"Babur GLCM (Hatf-7)","~12","2014","350f","1 x 5–12 kt","~12"
,"Babur-2/1(B) GLCM (Hatf-?)","-","-g","700","1 x 5–12 kt","-"
,"Ra’ad ALCM (Hatf-8)","-","-","350","1 x 5–12 kt","-"
,"Ra’ad-2 ALCM (Hatf-?)","-","(2022)",">350","1 x 5–12kt","-"
,"Subtotal:"," ","~12"," "," ","~12"
,"Sea-based cruise missiles"," "," "," "," "," "
,"Babur-3 SLCM (Hatf-?)","-","-h","450","1 x 5–12 kt","-"
,"Total","154"," "," "," ","~165i"