"Locations","Divisions","Regiments (Coordinates)","Missiles*","Status"
"Barnaul","35th MD","307th MR (53.3128, 84.5080)479th GMR (53.7709, 83.9580)480th MR (53.3054, 84.1459)867th GMR (53.2255, 84.6706)","(9 SS-27 Mod 2 TEL)9 SS-27 Mod 2 TEL(9 SS-27 Mod 2 TEL)9 SS-25 TEL","UpgradingActiveaUpgradingActive"
"Dombarovsky","13th MDb","368th MR (51.0934, 59.8446)494th MR (51.0628, 60.2119)767th MR (51.2411, 60.6069)621st MR (51.0618, 59.6081)","6 SS-18 Silos6 SS-18 Silos6 SS-18 Silos4 SS-19 Mod 4 silosc","ActiveActiveActiveActive/upgrading"
"Irkutsk","29th GMD","92nd GMR (52.5085, 104.3933)344th GMR (52.6694, 104.5199)586th GMR (52.5505, 104.1584)","9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"Kozelsk","28th GMD","74th MR (53.7982, 35.8039)168th MR (54.0278, 35.4589)214th MR (53.7641, 35.4866)","10 SS-27 Mod 2 silos10 SS-27 Mod 2 silos(10 former SS-19 silos)","ActiveActiveUpgrade starts in 2021"
"Novosibirsk","39th GMD","357th GMR (55.3270, 82.9417)382nd GMR (55.3181, 83.1676)d428th GMR (55.3134, 83.0291)","9 SS-27 Mod 2 TELe9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"Nizhny Tagil","42nd MD","308th MR (58.2298, 60.6773)433rd MR (58.1015, 60.3592)804th MR (58.1372, 60.5366)","9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"Tatishchevo","60th MDf","31st MR (51.8792, 45.3368)104th MR (51.6108, 45.4970)122nd MR (52.1589, 45.6404)165th MR (51.8062, 45.6550)322nd MR (52.0449, 45.4458)626th MR (51.7146, 45.2278)","10 SS-27 Mod 1 silos10 SS-27 Mod 1 silos10 SS-27 Mod 1 silos10 SS-27 Mod 1 silos10 SS-27 Mod 1 silos10 SS-27 Mod 1 silos","ActiveActiveActiveActiveActiveActive"
"Teykovo","54th GMD","235th GMR (56.7041, 40.4403)285th GMR (56.8091, 40.1710)321st MR (56.9324, 40.5440)773rd MR (56.9167, 40.3087)","9 SS-27 Mod 1 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 1 TEL9 SS-27 Mod 2 TEL","ActiveActiveActiveActive"
"Uzhur","62nd MDg","229th MR (55.2453, 89.9194)269th MR (55.2077, 90.2526)302nd MR (55.1147, 89.6311)735th MR (55.2720, 89.5783)","6 SS-18 silos6 SS-18 silos6 SS-18 silos10 SS-18 silos","ActiveActiveActiveActive"
"Vypolsovo","7th GMD","41st MR (57.8620, 33.6500)510th GMR (57.7889, 33.8660)","(9 SS-27 Mod 2 TEL)9 SS-25 TEL","UpgradinghActive"
"Yoshkar-Ola","14th MD","290th MR (56.8328, 48.2370)i697th MR (56.5601, 48.2144)779th MR (56.5821, 48.1550)j","9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL9 SS-27 Mod 2 TEL","ActiveActiveActive"
"11 Divisionsk"," ","39 regiments","310 ICBMsl"," "